Apr 1, 2015,814.70,869.70,809.45,860.40,
Mar 31, 2015,809.00,824.45,801.95,811.00,
Mar 30, 2015,810.10,816.20,790.10,806.00,
Mar 27, 2015,827.50,829.50,798.50,806.30,
Mar 26, 2015,834.00,834.30,812.20,827.15,
Mar 25, 2015,832.00,839.00,820.25,834.20,
Mar 24, 2015,811.90,827.60,810.00,821.70,
Mar 23, 2015,814.80,821.50,796.60,806.00,
Mar 20, 2015,828.00,843.85,803.15,807.55,
Mar 19, 2015,825.70,845.35,814.50,823.50,
Mar 18, 2015,816.90,823.35,810.05,815.50,
Mar 17, 2015,810.65,827.50,805.50,813.00,
Mar 16, 2015,795.35,810.45,792.40,809.00,
Mar 13, 2015,817.00,819.65,789.90,794.10,
Mar 12, 2015,794.10,816.75,791.95,813.50,
Mar 11, 2015,805.55,811.40,791.10,796.65,
Mar 10, 2015,818.10,828.20,797.20,805.60,
Mar 9, 2015,799.45,825.80,787.10,816.30,
Mar 5, 2015,790.00,812.90,782.00,807.00,
Mar 4, 2015,732.25,803.80,725.00,784.40,
Mar 3, 2015,726.55,740.50,726.00,731.25,
Mar 2, 2015,715.00,727.50,708.30,727.00,
Feb 28, 2015,689.00,718.00,679.80,715.00,
Feb 27, 2015,678.75,690.45,674.85,685.70,
Feb 26, 2015,690.00,698.50,667.35,675.50,
Feb 25, 2015,704.00,706.75,685.20,685.95,
Feb 24, 2015,700.00,706.15,697.05,700.00,
Feb 23, 2015,708.00,713.65,696.95,700.00,
Feb 20, 2015,708.65,713.60,703.00,704.15,
Feb 19, 2015,710.00,714.65,703.95,704.85,
