BANKINDIA,Apr_22_2015,227.4,224.925,219.975,217.5,4.95,9.9,2.22521915037,4.45043830074
BASF,Apr_22_2015,1224.7625,1208.88125,1177.11875,1161.2375,31.7625,63.525,2.66240569992,5.32481139983
BATAINDIA,Apr_22_2015,1030.4525,1015.72625,986.27375,971.5475,29.4525,58.905,2.94230769231,5.88461538462
BEML,Apr_22_2015,1068.3925,1045.19625,998.80375,975.6075,46.3925,92.785,4.53938356164,9.07876712329
BGRENERGY,Apr_22_2015,129.155,127.2025,123.2975,121.345,3.905,7.81,3.11776447106,6.23552894212
BHARATFORG,Apr_22_2015,1191.995,1177.7225,1149.1775,1134.905,28.545,57.09,2.45347887748,4.90695775495
BHARTIARTL,Apr_22_2015,405.555,402.7775,397.2225,394.445,5.555,11.11,1.38875,2.7775
BHEL,Apr_22_2015,236.5375,233.99375,228.90625,226.3625,5.0875,10.175,2.19809894146,4.39619788291
BIOCON,Apr_22_2015,480.4675,471.98375,455.01625,446.5325,16.9675,33.935,3.66073354908,7.32146709817
BOSCHLTD,Apr_22_2015,24333.935,23966.8925,23232.8075,22865.765,734.085,1468.17,3.11054943146,6.22109886292
BPCL,Apr_22_2015,812.4525,808.72625,801.27375,797.5475,7.4525,14.905,0.925776397516,1.85155279503
BRITANNIA,Apr_22_2015,2100.3975,2080.19875,2039.80125,2019.6025,40.3975,80.795,1.96104368932,3.92208737864
CADILAHC,Apr_22_2015,1769.35,1753.675,1722.325,1706.65,31.35,62.7,1.80379746835,3.60759493671
CAIRN,Apr_22_2015,222.305,220.3525,216.4475,214.495,3.905,7.81,1.788003663,3.57600732601
CANBK,Apr_22_2015,396.945,392.8475,384.6525,380.555,8.195,16.39,2.10803858521,4.21607717042
CASTROLIND,Apr_22_2015,473.04,470.62,465.78,463.36,4.84,9.68,1.03374626228,2.06749252456
CENTURYTEX,Apr_22_2015,759.72,746.135,718.965,705.38,27.17,54.34,3.70896184561,7.41792369122
CESC,Apr_22_2015,565.5175,558.95875,545.84125,539.2825,13.1175,26.235,2.37463794352,4.74927588704
CHAMBLFERT,Apr_22_2015,70.005,69.4275,68.2725,67.695,1.155,2.31,1.67755991285,3.35511982571
CIPLA,Apr_22_2015,667.7,661.375,648.725,642.4,12.65,25.3,1.93115029387,3.86230058774
COALINDIA,Apr_22_2015,383.5975,381.54875,377.45125,375.4025,4.0975,8.195,1.07971014493,2.15942028986
COLPAL,Apr_22_2015,2014.075,1986.4375,1931.1625,1903.525,55.275,110.55,2.82188074331,5.64376148662
COREEDUTEC,Apr_22_2015,8.865,8.7825,8.6175,8.535,0.165,0.33,1.89655172414,3.79310344828
COROMANDEL,Apr_22_2015,257.4175,256.08375,253.41625,252.0825,2.6675,5.335,1.04710500491,2.09421000981
COX&KINGS,Apr_22_2015,327.6825,325.99125,322.60875,320.9175,3.3825,6.765,1.04301572618,2.08603145236
CROMPGREAV,Apr_22_2015,169.1175,168.05875,165.94125,164.8825,2.1175,4.235,1.26796407186,2.53592814371
CUMMINSIND,Apr_22_2015,878.3,871.15,856.85,849.7,14.3,28.6,1.65509259259,3.31018518519
DABUR,Apr_22_2015,273.3675,269.55875,261.94125,258.1325,7.6175,15.235,2.86641580433,5.73283160865
DBCORP,Apr_22_2015,371.7425,368.34625,361.55375,358.1575,6.7925,13.585,1.86121386491,3.72242772983
DBREALTY,Apr_22_2015,67.9775,66.58875,63.81125,62.4225,2.7775,5.555,4.25996932515,8.51993865031
DELTACORP,Apr_22_2015,88.555,87.4275,85.1725,84.045,2.255,4.51,2.61297798378,5.22595596756
DENABANK,Apr_22_2015,52.0125,51.53125,50.56875,50.0875,0.9625,1.925,1.88540646425,3.7708129285
DISHTV,Apr_22_2015,78.1575,77.15375,75.14625,74.1425,2.0075,4.015,2.63624425476,5.27248850952
DIVISLAB,Apr_22_2015,1826.785,1813.3925,1786.6075,1773.215,26.785,53.57,1.48805555556,2.97611111111
DLF,Apr_22_2015,141.2775,139.33875,135.46125,133.5225,3.8775,7.755,2.82205240175,5.64410480349
DRREDDY,Apr_22_2015,3617.35,3590.675,3537.325,3510.65,53.35,106.7,1.49691358025,2.99382716049
EDUCOMP,Apr_22_2015,17.625,17.2125,16.3875,15.975,0.825,1.65,4.91071428571,9.82142857143
EICHERMOT,Apr_22_2015,14625.28,14512.64,14287.36,14174.72,225.28,450.56,1.56444444444,3.12888888889
ESCORTS,Apr_22_2015,136.9175,135.30875,132.09125,130.4825,3.2175,6.435,2.40650710546,4.81301421092
ESSAROIL,Apr_22_2015,106.82,106.16,104.84,104.18,1.32,2.64,1.25118483412,2.50236966825
EVEREADY,Apr_22_2015,297.0075,294.35375,289.04625,286.3925,5.3075,10.615,1.81950634213,3.63901268426
EXIDEIND,Apr_22_2015,182.76,181.055,177.645,175.94,3.41,6.82,1.90131028715,3.8026205743
FEDERALBNK,Apr_22_2015,129.92,128.985,127.115,126.18,1.87,3.74,1.46036704412,2.92073408825
FORTIS,Apr_22_2015,165.6375,163.09375,158.00625,155.4625,5.0875,10.175,3.16879476799,6.33758953597
FRL,Apr_22_2015,111.47,109.985,107.015,105.53,2.97,5.94,2.73732718894,5.47465437788
GAIL,Apr_22_2015,380.785,378.3925,373.6075,371.215,4.785,9.57,1.27260638298,2.54521276596
GESHIP,Apr_22_2015,345.525,341.8125,334.3875,330.675,7.425,14.85,2.19609582964,4.39219165927
GILLETTE,Apr_22_2015,4607.55,4568.775,4491.225,4452.45,77.55,155.1,1.7119205298,3.4238410596
GLAXO,Apr_22_2015,3257.3975,3226.19875,3163.80125,3132.6025,62.3975,124.795,1.95297339593,3.90594679186
GLENMARK,Apr_22_2015,925.325,912.2625,886.1375,873.075,26.125,52.25,2.90536032028,5.81072064057
GMRINFRA,Apr_22_2015,16.6125,16.40625,15.99375,15.7875,0.4125,0.825,2.5462962963,5.09259259259
GODREJIND,Apr_22_2015,379.395,375.2975,367.1025,363.005,8.195,16.39,2.20770474138,4.41540948276
GODREJPROP,Apr_22_2015,260.4825,257.96625,252.93375,250.4175,5.0325,10.065,1.97005284792,3.94010569583
GOLDBEES,Apr_22_2015,2483.095,2474.0475,2455.9525,2446.905,18.095,36.19,0.734077079108,1.46815415822
GRASIM,Apr_22_2015,3698.8,3675.425,3628.675,3605.3,46.75,93.5,1.28010295587,2.56020591175
GSKCONS,Apr_22_2015,6491.45,6415.55,6263.75,6187.85,151.8,303.6,2.39445395251,4.78890790501
GSPL,Apr_22_2015,124.875,123.9125,121.9875,121.025,1.925,3.85,1.56567710451,3.13135420903
GUJFLUORO,Apr_22_2015,698.78,687.89,666.11,655.22,21.78,43.56,3.21713441654,6.43426883309
HAVELLS,Apr_22_2015,295.7475,292.87375,287.12625,284.2525,5.7475,11.495,1.98189655172,3.96379310345
HCLTECH,Apr_22_2015,900.89,892.97,877.13,869.21,15.84,31.68,1.78972939382,3.57945878764
HDFC,Apr_22_2015,1288.05,1280.625,1265.775,1258.35,14.85,29.7,1.16635249764,2.33270499529
HDFCBANK,Apr_22_2015,1029.975,1022.4125,1007.2875,999.725,15.125,30.25,1.49036803468,2.98073606937
HDIL,Apr_22_2015,128.475,126.4125,122.2875,120.225,4.125,8.25,3.31724969843,6.63449939686
